base_impl,device,metric_mean,metric_std,metric_count,status,attrCount,revealRatio
sd-jwt,desktop,2.9320514800000637,0.7457382008240122,50,present,6,0.8
sd-jwt,mobile,25.621529200000115,1.983504333560395,50,present,6,0.8
sd-jwt,raspberry_pi,46.573340000000535,3.52980328844154,50,present,6,0.8
sd-jwt,smartwatch,66.39966461999967,24.26988420997702,50,present,6,0.8
bbs+(Rust),desktop,82.2341933199999,3.6085663025764685,50,present,6,0.8
bbs+(Rust),mobile,300.11981853999924,6.510844770066232,50,present,6,0.8
bbs+(Rust),raspberry_pi,1537.5199880212544,8.394765964442565,50,present,6,0.8
bbs+(Rust),smartwatch,4082.665352560021,33.49540368458749,50,present,6,0.8
bbs2023(Rust),desktop,43.03357127999996,2.6854610742722307,50,present,6,0.8
bbs2023(Rust),mobile,175.1948908400003,5.670003278360209,50,present,6,0.8
bbs2023(Rust),raspberry_pi,917.6312182794511,6.367863509386524,50,present,6,0.8
bbs2023(Rust),smartwatch,1349.6011931399955,31.51899992993133,50,present,6,0.8
bbs2023(JS),desktop,180.56364100000036,3.6030494755146822,50,present,6,0.8
bbs2023(JS),mobile,857.7398739999999,12.255721051352472,50,present,6,0.8
bbs2023(JS),raspberry_pi,4058.307113580019,17.654601613393798,50,present,6,0.8
bbs2023(JS),smartwatch,8530.452977460009,120.64019924113943,50,present,6,0.8
