base_impl,attrCount,revealRatio,desktop_wallet_ms,mobile_wallet_ms,raspberry_pi_wallet_ms,desktop_verifier_ms,mobile_verifier_ms,raspberry_pi_verifier_ms
bbs2023-digitalbazaar,5,0.2,179.13569897999994,878.3303847200001,3966.146542959999,64.54174698000003,307.2528938799999,1455.7167156200012
bbs2023-digitalbazaar,5,0.4,174.82959287999998,827.9801538599994,3858.0902034400046,64.34798874000015,292.2746830200002,1444.4744374800014
bbs2023-digitalbazaar,5,0.6,170.57004035999992,820.0433277200013,3793.328413400004,63.8028813399998,296.33542772000044,1440.5362431399908
bbs2023-digitalbazaar,5,0.8,168.4915490000004,800.1089092399989,3732.7528057000018,64.04450059999988,292.84328766000283,1448.2543811400094
bbs2023-digitalbazaar,5,1.0,163.59548926000062,784.8784154799994,3673.242097979996,63.03397608000014,293.1743307399988,1448.7928160200106
bbs2023-digitalbazaar,6,0.2,188.78935460000022,894.9342200600013,4229.179876620011,67.47641616000008,310.3255631200038,1531.8340418000078
bbs2023-digitalbazaar,6,0.4,185.1471981400004,879.0911601200037,4172.188237699983,66.75064654000016,309.74121849999824,1534.6725780400075
bbs2023-digitalbazaar,6,0.6,183.15125248000084,868.6939877800027,4115.820603880007,67.0565209599986,309.377749180001,1537.8527362999832
bbs2023-digitalbazaar,6,0.8,180.56364100000036,857.7398739999999,4058.307113580019,67.00465475999926,309.00798919999625,1534.6165022199973
bbs2023-digitalbazaar,6,1.0,175.25519474000234,835.9673139000009,3944.974224679996,66.93301848000061,309.75689549999896,1534.9759726000252
bbs2023-digitalbazaar,7,0.2,203.44392351999937,958.8206077000045,4558.753578479993,71.32695329999929,328.5613953599997,1622.5626998400362
bbs2023-digitalbazaar,7,0.4,199.77069267999906,946.4841539199953,4502.961257399991,71.32315114000171,329.0450737600017,1625.5829964799527
bbs2023-digitalbazaar,7,0.6,194.87266890000058,921.0807493399946,4389.51708465999,70.92041249999922,327.4155108799925,1623.0133869399876
bbs2023-digitalbazaar,7,0.8,190.89453342000053,911.6427723199897,4334.633302339996,70.7066867000013,328.81529386000244,1628.3885074200389
bbs2023-digitalbazaar,7,1.0,187.62875083999825,888.2438554799905,4220.025972219966,71.27664342000091,328.02382626000093,1627.111610860005
bbs2023-digitalbazaar,8,0.2,215.33686301999958,1020.7846461800136,4894.397089199992,74.70892731999979,345.6120046600001,1718.191524459999
